"id","year","state_name","state_code","district_name","district_code","development_sector","project_outlay_amount_in_lakhs","amount_spent_in_lakhs"
0,"2014-01-01","All India","0","Not Mentioned","0","Agro Forestry",100.0,66.0
1,"2014-01-01","All India","0","Not Mentioned","0","Animal Welfare",284.0,300.0
2,"2014-01-01","All India","0","Not Mentioned","0","Armed Forces, Veterans, War Widows/ Dependants",397.0,115.0
3,"2014-01-01","All India","0","Not Mentioned","0","Art And Culture",3577.0,3586.0
4,"2014-01-01","All India","0","Not Mentioned","0","Clean Ganga Fund",56.0,56.0
5,"2014-01-01","All India","0","Not Mentioned","0","Conservation Of Natural Resources",1211.0,1301.0
6,"2014-01-01","All India","0","Not Mentioned","0","Education",70241.0,51880.0
7,"2014-01-01","All India","0","Not Mentioned","0","Environmental Sustainability",38507.0,37903.0
8,"2014-01-01","All India","0","Not Mentioned","0","Gender Equality",4693.0,4683.0
9,"2014-01-01","All India","0","Not Mentioned","0","Health Care",25717.0,25149.0
10,"2014-01-01","All India","0","Not Mentioned","0","Livelihood Enhancement Projects",6364.0,6063.0
11,"2014-01-01","All India","0","Not Mentioned","0","Not Mentioned",54031.0,57487.0
12,"2014-01-01","All India","0","Not Mentioned","0","Other Central Government Funds",22436.0,18129.0
13,"2014-01-01","All India","0","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",17494.0,9298.0
14,"2014-01-01","All India","0","Not Mentioned","0","Prime Minister'S National Relief Fund",9426.0,9797.0
15,"2014-01-01","All India","0","Not Mentioned","0","Rural Development Projects",36902.0,32703.0
16,"2014-01-01","All India","0","Not Mentioned","0","Safe Drinking Water",1765.0,1559.0
17,"2014-01-01","All India","0","Not Mentioned","0","Sanitation",6067.0,5596.0
18,"2014-01-01","All India","0","Not Mentioned","0","Senior Citizens Welfare",4.0,5.0
19,"2014-01-01","All India","0","Not Mentioned","0","Setting Up Homes And Hostels For Women",1.0,1.0
20,"2014-01-01","All India","0","Not Mentioned","0","Slum Area Development",9898.0,9635.0
21,"2014-01-01","All India","0","Not Mentioned","0","Socio-Economic Inequalities",370.0,351.0
22,"2014-01-01","All India","0","Not Mentioned","0","Swachh Bharat Kosh",5090.0,5187.0
23,"2014-01-01","All India","0","Not Mentioned","0","Training To Promote Sports",1578.0,1285.0
24,"2014-01-01","All India","0","Not Mentioned","0","Vocational Skills",2549.0,2361.0
25,"2014-01-01","All India","0","Not Mentioned","0","Women Empowerment",1073.0,637.0
26,"2014-01-01","Andhra Pradesh","28","Chittoor","503","Education",301.0,106.0
27,"2014-01-01","Andhra Pradesh","28","Chittoor","503","Health Care",388.0,388.0
28,"2014-01-01","Andhra Pradesh","28","Chittoor","503","Rural Development Projects",802.0,198.0
29,"2014-01-01","Andhra Pradesh","28","Chittoor","503","Sanitation",7.0,7.0
30,"2014-01-01","Andhra Pradesh","28","East Godavari","505","Education",2.0,2.0
31,"2014-01-01","Andhra Pradesh","28","East Godavari","505","Health Care",2.0,2.0
32,"2014-01-01","Andhra Pradesh","28","East Godavari","505","Rural Development Projects",84.0,79.0
33,"2014-01-01","Andhra Pradesh","28","East Godavari","505","Safe Drinking Water",30.0,31.0
34,"2014-01-01","Andhra Pradesh","28","East Godavari","505","Sanitation",4.0,11.0
35,"2014-01-01","Andhra Pradesh","28","East Godavari","505","Vocational Skills",10.0,7.0
36,"2014-01-01","Andhra Pradesh","28","Guntur","506","Education",56.0,56.0
37,"2014-01-01","Andhra Pradesh","28","Guntur","506","Poverty, Eradicating Hunger, Malnutrition",29.0,29.0
38,"2014-01-01","Andhra Pradesh","28","Guntur","506","Rural Development Projects",11.0,11.0
39,"2014-01-01","Andhra Pradesh","28","Guntur","506","Safe Drinking Water",9.0,9.0
40,"2014-01-01","Andhra Pradesh","28","Guntur","506","Sanitation",50.0,50.0
41,"2014-01-01","Andhra Pradesh","28","Guntur","506","Setting Up Orphanage",11.0,11.0
42,"2014-01-01","Andhra Pradesh","28","Guntur","506","Socio-Economic Inequalities",2.0,2.0
43,"2014-01-01","Andhra Pradesh","28","Guntur","506","Women Empowerment",75.0,75.0
44,"2014-01-01","Andhra Pradesh","28","Krishna","510","Education",78.0,78.0
45,"2014-01-01","Andhra Pradesh","28","Kurnool","511","Education",164.0,164.0
46,"2014-01-01","Andhra Pradesh","28","Kurnool","511","Safe Drinking Water",50.0,50.0
47,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Agro Forestry",2.0,2.0
48,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Education",9825.0,9350.0
49,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Environmental Sustainability",6953.0,5899.0
50,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Health Care",4066.0,3427.0
51,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Livelihood Enhancement Projects",594.0,594.0
52,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Not Mentioned",0.0,37.0
53,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",6.0,0.0
54,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Rural Development Projects",106.0,105.0
55,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Safe Drinking Water",77.0,23.0
56,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Sanitation",20982.0,1575.0
57,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Vocational Skills",272.0,132.0
58,"2014-01-01","Andhra Pradesh","28","Not Mentioned","0","Women Empowerment",949.0,1044.0
59,"2014-01-01","Andhra Pradesh","28","Spsr Nellore","515","Health Care",16.0,3.0
60,"2014-01-01","Andhra Pradesh","28","Srikakulam","519","Education",4.0,4.0
61,"2014-01-01","Andhra Pradesh","28","Srikakulam","519","Environmental Sustainability",11.0,11.0
62,"2014-01-01","Andhra Pradesh","28","Srikakulam","519","Health Care",209.0,209.0
63,"2014-01-01","Andhra Pradesh","28","Srikakulam","519","Not Mentioned",2.0,2.0
64,"2014-01-01","Andhra Pradesh","28","Srikakulam","519","Poverty, Eradicating Hunger, Malnutrition",208.0,208.0
65,"2014-01-01","Andhra Pradesh","28","Vishakapatnam","520","Education",811.0,1467.0
66,"2014-01-01","Andhra Pradesh","28","Vishakapatnam","520","Not Mentioned",2.0,1.0
67,"2014-01-01","Arunachal Pradesh","12","Not Mentioned","0","Conservation Of Natural Resources",2046.0,591.0
68,"2014-01-01","Arunachal Pradesh","12","Not Mentioned","0","Not Mentioned",0.0,167.0
69,"2014-01-01","Assam","18","Dibrugarh","286","Education",5.0,5.0
70,"2014-01-01","Assam","18","Dibrugarh","286","Environmental Sustainability",200.0,200.0
71,"2014-01-01","Assam","18","Dibrugarh","286","Poverty, Eradicating Hunger, Malnutrition",90.0,90.0
72,"2014-01-01","Assam","18","Jorhat","290","Education",10.0,10.0
73,"2014-01-01","Assam","18","Not Mentioned","0","Art And Culture",79.0,79.0
74,"2014-01-01","Assam","18","Not Mentioned","0","Education",3281.0,3280.0
75,"2014-01-01","Assam","18","Not Mentioned","0","Environmental Sustainability",380.0,380.0
76,"2014-01-01","Assam","18","Not Mentioned","0","Gender Equality",30.0,22.0
77,"2014-01-01","Assam","18","Not Mentioned","0","Health Care",865.0,838.0
78,"2014-01-01","Assam","18","Not Mentioned","0","Livelihood Enhancement Projects",3779.0,3779.0
79,"2014-01-01","Assam","18","Not Mentioned","0","Not Mentioned",0.0,5.0
80,"2014-01-01","Assam","18","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",297.0,293.0
81,"2014-01-01","Assam","18","Not Mentioned","0","Rural Development Projects",1197.0,1197.0
82,"2014-01-01","Assam","18","Not Mentioned","0","Safe Drinking Water",2.0,1.0
83,"2014-01-01","Assam","18","Not Mentioned","0","Sanitation",82.0,82.0
84,"2014-01-01","Assam","18","Not Mentioned","0","Setting Up Homes And Hostels For Women",22.0,22.0
85,"2014-01-01","Assam","18","Not Mentioned","0","Special Education",5.0,2.0
86,"2014-01-01","Assam","18","Not Mentioned","0","Women Empowerment",95.0,64.0
87,"2014-01-01","Bihar","10","Gaya","196","Environmental Sustainability",41.0,10.0
88,"2014-01-01","Bihar","10","Katihar","201","Animal Welfare",0.0,0.0
89,"2014-01-01","Bihar","10","Muzaffarpur","208","Health Care",986.0,246.0
90,"2014-01-01","Bihar","10","Not Mentioned","0","Agro Forestry",2903.0,1606.0
91,"2014-01-01","Bihar","10","Not Mentioned","0","Conservation Of Natural Resources",900.0,90.0
92,"2014-01-01","Bihar","10","Not Mentioned","0","Education",12.0,12.0
93,"2014-01-01","Bihar","10","Not Mentioned","0","Gender Equality",6.0,6.0
94,"2014-01-01","Bihar","10","Not Mentioned","0","Health Care",15.0,7.0
95,"2014-01-01","Bihar","10","Not Mentioned","0","Livelihood Enhancement Projects",30.0,37.0
96,"2014-01-01","Bihar","10","Not Mentioned","0","Not Mentioned",24.0,102.0
97,"2014-01-01","Bihar","10","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",60.0,60.0
98,"2014-01-01","Bihar","10","Not Mentioned","0","Rural Development Projects",465.0,205.0
99,"2014-01-01","Bihar","10","Not Mentioned","0","Sanitation",38.0,38.0
100,"2014-01-01","Bihar","10","Patna","212","Education",168.0,174.0
101,"2014-01-01","Chandigarh","4","Chandigarh","44","Education",36.0,36.0
102,"2014-01-01","Chandigarh","4","Chandigarh","44","Training To Promote Sports",8.0,8.0
103,"2014-01-01","Chandigarh","4","Chandigarh","44","Women Empowerment",1.0,1.0
104,"2014-01-01","Chandigarh","4","Not Mentioned","0","Education",13.0,13.0
105,"2014-01-01","Chandigarh","4","Not Mentioned","0","Not Mentioned",80.0,80.0
106,"2014-01-01","Chhattisgarh","22","Bastar","374","Not Mentioned",90.0,36.0
107,"2014-01-01","Chhattisgarh","22","Bilaspur","375","Education",974.0,1040.0
108,"2014-01-01","Chhattisgarh","22","Bilaspur","375","Poverty, Eradicating Hunger, Malnutrition",12.0,9.0
109,"2014-01-01","Chhattisgarh","22","Durg","378","Education",100.0,100.0
110,"2014-01-01","Chhattisgarh","22","Korba","383","Education",1032.0,1073.0
111,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Armed Forces, Veterans, War Widows/ Dependants",1.0,1.0
112,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Art And Culture",25.0,23.0
113,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Conservation Of Natural Resources",656.0,61.0
114,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Education",5350.0,3983.0
115,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Environmental Sustainability",26.0,26.0
116,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Gender Equality",30.0,27.0
117,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Health Care",667.0,640.0
118,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Livelihood Enhancement Projects",52.0,44.0
119,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Not Mentioned",105.0,81.0
120,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",300.0,359.0
121,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Rural Development Projects",940.0,977.0
122,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Socio-Economic Inequalities",200.0,247.0
123,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Training To Promote Sports",122.0,142.0
124,"2014-01-01","Chhattisgarh","22","Not Mentioned","0","Vocational Skills",178.0,178.0
125,"2014-01-01","Chhattisgarh","22","Raipur","387","Education",50.0,183.0
126,"2014-01-01","Chhattisgarh","22","Raipur","387","Livelihood Enhancement Projects",10.0,9.0
127,"2014-01-01","Dadra Nagar Haveli and Daman and Diu","26","Not Mentioned","0","Education",5205.0,2005.0
128,"2014-01-01","Dadra Nagar Haveli and Daman and Diu","26","Not Mentioned","0","Health Care",16.0,13.0
129,"2014-01-01","Dadra Nagar Haveli and Daman and Diu","26","Not Mentioned","0","Poverty, Eradicating Hunger, Malnutrition",11.0,0.0
130,"2014-01-01","Dadra Nagar Haveli and Daman and Diu","26","Not Mentioned","0","Rural Development Projects",40.0,0.0
131,"2014-01-01","Dadra Nagar Haveli and Daman and Diu","26","Not Mentioned","0","Sanitation",6.0,2.0
132,"2014-01-01","Delhi","7","Central","77","Education",5.0,1.0
133,"2014-01-01","Delhi","7","New Delhi","79","Animal Welfare",0.0,0.0
134,"2014-01-01","Delhi","7","New Delhi","79","Armed Forces, Veterans, War Widows/ Dependants",0.0,20.0
135,"2014-01-01","Delhi","7","New Delhi","79","Art And Culture",4.0,4.0
136,"2014-01-01","Delhi","7","New Delhi","79","Education",73.0,77.0
